State,County,City,Name,RegionID,lon,lat
CA,Los Angeles,Los Angeles,Southeast Los Angeles,268496,-118.26587179393331,33.96947975409453
CA,Los Angeles,Glendale,Fremont Park,273789,-118.26512647286495,34.157648025765404
CA,Los Angeles,Los Angeles,Valley Glen,268548,-118.41738744737485,34.1863232569359
CA,Los Angeles,Los Angeles,Glassell Park,273825,-118.23581117410598,34.116899345518696
CA,Los Angeles,Glendale,Greenbriar,273890,-118.23911659633816,34.17175617505805
CA,Los Angeles,Los Angeles,Montecito Heights,268316,-118.19648652559997,34.09007577974545
CA,Los Angeles,Los Angeles,Leimert Park,274293,-118.32680721431902,34.01154783730497
CA,Los Angeles,Long Beach,Los Cerritos Area,274358,-118.19643211696396,33.8314845103996
CA,Los Angeles,Los Angeles,Los Feliz,274359,-118.28598282460838,34.10907798494735
CA,Los Angeles,Glendale,Mariposa,274425,-118.24741598237932,34.138192109780405
CA,Los Angeles,Torrance,Olde Torrance,274895,-118.31880986465968,33.82953077502227
CA,Los Angeles,Long Beach,Park Estates,274961,-118.12761704428428,33.783499339449726
CA,Los Angeles,Glendale,Pelanconi,274995,-118.27615381408468,34.158897906941164
CA,Los Angeles,Los Angeles,Porter Ranch,275078,-118.56298131366084,34.28580908833465
CA,Los Angeles,Los Angeles,University Park,268540,-118.283533367468,34.02947710325223
CA,Los Angeles,Los Angeles,West Adams,268581,-118.35384150906867,34.02724307025005
CA,Los Angeles,Glendale,San Rafael Hills,275293,-118.21547623273312,34.18802737613103
CA,Los Angeles,Long Beach,Belmont Heights,272933,-118.14434253338882,33.76767589684698
CA,Los Angeles,Los Angeles,West Hills,268588,-118.63728334684274,34.20699868278656
CA,Los Angeles,Glendale,Adams Hill,272725,-118.24454886060391,34.12958797009393
CA,Los Angeles,Long Beach,Airport Area,272732,-118.1516989331525,33.81596719254421
CA,Los Angeles,Glendale,Somerset,275396,-118.23420716710024,34.13880326119694
CA,Los Angeles,Long Beach,Bixby Area,272968,-118.17492927065683,33.839722610183784
CA,Los Angeles,Glendale,Brockmont,273059,-118.25779977305906,34.17584282016714
CA,Los Angeles,Long Beach,East Side,273567,-118.1456293351796,33.779337554613846
CA,Los Angeles,Los Angeles,Terminal Island,268518,-118.25686243449044,33.738644239908666
CA,Los Angeles,Long Beach,California Heights,273109,-118.17850687886668,33.82275712904129
CA,Los Angeles,Los Angeles,Valley Village,268551,-118.39731369735264,34.1632649298442
CA,Los Angeles,Glendale,El Miradero,273617,-118.28312232584375,34.18143316132124
CA,Los Angeles,Pasadena,South Arroyo,275411,-118.1656439640911,34.135021126266345
NA,NA,NA,NA,NA,-118.10202372364738,34.14069426924143
CA,Los Angeles,Torrance,Southeast Torrance,275428,-118.31861405080915,33.81302946857863
CA,Los Angeles,Long Beach,Traffic Circle,273252,-118.14302680393382,33.79337525430936
CA,Los Angeles,Glendale,Sparr Heights,275512,-118.2332279158908,34.20328544078799
CA,Los Angeles,Glendale,Crescenta Highlands,273400,-118.2573768619425,34.23378782133532
CA,Los Angeles,Glendale,Glenwood,273837,-118.27278076837266,34.169092200648684
CA,Los Angeles,Glendale,Tropico,275778,-118.2573253238519,34.12784647138511
CA,Los Angeles,Long Beach,Downtown,273486,-118.19512341629466,33.76653671627199
CA,Los Angeles,Long Beach,Lakewood Village,274262,-118.13375489975707,33.83960366780276
CA,Los Angeles,Torrance,West Torrance,275994,-118.36428412916115,33.85353201000021
CA,Los Angeles,Glendale,Whiting Woods,276061,-118.25164384317647,34.21169783242526
CA,Los Angeles,Glendale,Glenoaks Canyon,273834,-118.20974733686846,34.15328850570329
CA,Los Angeles,Glendale,Grand Central,276348,-118.2888594733701,34.162153143991745
