x,y,z
-118.2481,34.08946,0.0
-118.3054,34.06992,0.0
-118.060473,33.878755,0.0
-118.5098,34.44098,0.0
-118.110934,34.101991,1.0
-118.3623,34.02719,1.0
-118.5733,34.19776,0.0
-118.3204,33.94001,1.0
-118.3594,33.89821,0.0
-118.2529,34.12036,1.0
-118.2794,34.02258,1.0
-117.9726,34.05781,1.0
-118.2914,33.73597,0.0
-118.1919,33.81513,1.0
-118.5527,34.43531,0.0
-118.4014,34.20796,1.0
-118.2806,33.81852,0.0
-117.861817,34.020414,0.0
-118.6246,34.46921,1.0
-118.345958,34.272999,0.0
-118.060137,33.838742,1.0
-118.28076,34.100823,1.0
-118.2412,33.85045,1.0
-117.9671,34.04941,1.0
-117.7189,34.12286,1.0
-118.4065,34.27968,0.0
-118.4393,34.32527,0.0
-118.1061,33.96447,0.0
-118.2032,34.68252,1.0
-118.2946,34.01895,0.0
-118.2501,34.04664,1.0
-118.1303,33.97496,1.0
-118.3868,33.83997,1.0
-118.3248,34.02514,1.0
-118.225487,34.178486,1.0
-118.482019,34.147438,1.0
-117.9315,34.09589,0.0
-118.3127,34.0606,0.0
-118.0759,34.6784,1.0
-118.1989,34.66444,1.0
-118.208645,33.94404,1.0
-118.4862,34.19383,0.0
-118.518203,34.04791,1.0
-118.2548,34.13943,0.0
-118.353992,34.096638,1.0
-118.1174,34.01616,1.0
-118.0887,34.02016,1.0
-118.173337,34.080285,1.0
-117.9198,34.1129,1.0
-118.11,34.17263,1.0
-118.2857,34.06298,0.0
-117.981959,34.060227,0.0
-118.0849,33.88309,1.0
-118.36,34.24864,0.0
-118.4825,34.02606,0.0
-118.5166,34.45891,1.0
-117.992,33.91127,0.0
-118.2923,34.01314,0.0
-118.3198,33.97631,1.0
-118.0203,33.92605,1.0
-118.3197,33.96355,1.0
-118.2551,33.96296,0.0
-118.1296,34.0112,1.0
-118.0086,34.09812,0.0
-118.0498,33.92431,1.0
-118.3574,34.08866,1.0
-118.419311,34.014097,1.0
-117.9518,34.07889,0.0
-117.974465,34.066424,1.0
-118.057,33.85345,1.0
-118.2831,33.99732,0.0
-118.2941,34.18496,1.0
-118.303514,34.007903,1.0
-118.1256,34.57251,0.0
-118.202373,34.121618,0.0
-118.5564,34.15429,1.0
-118.0485,33.91907,1.0
-118.001731,33.930288,0.0
-118.209608,33.900872,1.0
-117.9894,34.06813,0.0
-118.1951,33.77919,1.0
-118.158,34.69718,1.0
-118.318,33.969164,1.0
-118.1293,33.80477,1.0
-118.1131,34.17021,1.0
-118.2116,33.93113,0.0
-118.4486,34.2776,0.0
-117.7083,34.0916,1.0
-118.3482,34.17923,1.0
-118.218,33.93818,1.0
-118.111807,34.58087,1.0
-118.3827,33.75719,0.0
-118.057052,34.167981,1.0
-118.3069,33.94852,1.0
